tissue	day	color	mean	l95	u95
brain	0	#CCCF00	0.024898771105904133	0.015852700914899154	0.03394484129690911
brain	2	#CCCF00	0.04025742410504048	0.033286686543827215	0.04722816166625375
brain	4	#CCCF00	0.10644230073539743	0.09476770662737294	0.11811689484342192
brain	6	#CCCF00	0.16262596266938908	0.1465996013495099	0.17865232398926828
brain	8	#CCCF00	0.2046973276474442	0.18342951132966895	0.22596514396521944
colon	0	#EEBB77	0.09878969218989583	0.08761626739870199	0.10996311698108968
colon	2	#EEBB77	0.1784229896706758	0.14545093083047114	0.21139504851088045
colon	4	#EEBB77	0.3245081916731358	0.27124746174914505	0.3777689215971266
colon	6	#EEBB77	0.4188423129820908	0.38795379162500593	0.44973083433917566
colon	8	#EEBB77	0.49282600776515817	0.4379535761509745	0.5476984393793418
